City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
174,mae sai,TH,73.71,20.4335,99.8762,clear sky,ปิยะพรฮิลล์ พาราไดซ์
178,namibe,AO,71.17,-15.1961,12.1522,broken clouds,Hotel Chik Chik Namibe
183,vila velha,BR,76.95,-20.3297,-40.2925,overcast clouds,Hotel Prainha
184,rosario,AR,81.95,-32.9468,-60.6393,clear sky,Fontana Suites
187,avarua,CK,82.45,-21.2078,-159.775,light rain,Paradise Inn
198,poro,PH,75.11,10.6292,124.4087,overcast clouds,Heritage Inn
205,buta,CD,73.35,2.7858,24.73,overcast clouds,Hôtel Rubi
206,that phanom,TH,71.67,16.9364,104.7104,overcast clouds,Pornnarumitr Hotel
207,mahebourg,MU,73.26,-20.4081,57.7,light rain,Grand Bel Air
208,mar del plata,AR,71.1,-38.0023,-57.5575,overcast clouds,Nuevo Ostende
210,saint-georges,GD,76.62,12.0564,-61.7485,light rain,Deyna's City Inn
222,koumac,NC,80.53,-20.5667,164.2833,few clouds,Monitel Koumac
228,inirida,CO,72.55,3.8653,-67.9239,broken clouds,Residencias El Turista del Guainia
229,praia,CV,72.14,14.9215,-23.5087,few clouds,Casa Sodadi
235,port lincoln,AU,70.63,-34.7333,135.8667,clear sky,Boston Hotel
238,puerto cabezas,NI,74.01,14.0351,-83.3888,few clouds,Hotel Caribe
239,yeppoon,AU,85.78,-23.1333,150.7333,broken clouds,Blossom's on Seaspray
241,natal,BR,79.45,-5.795,-35.2094,light rain,Natal Palace Hotel
