City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,saumur,FR,47.3333,-0.25,50.9,93,100,13.29,overcast clouds
287,ambulu,ID,-8.345,113.6058,84.67,63,96,7.67,overcast clouds
288,pochutla,MX,15.7432,-96.4661,70.83,76,0,3.56,clear sky
289,megion,RU,61.0296,76.1136,-43.58,96,13,4.27,few clouds
290,prieska,ZA,-29.6641,22.7474,92.62,17,67,15.28,broken clouds
291,newport,GB,51.5877,-2.9984,46.94,89,97,22.55,overcast clouds
292,bilibino,RU,68.0546,166.4372,-14.57,97,100,3.44,overcast clouds
293,foam lake,CA,51.65,-103.5343,1.63,99,100,6.15,overcast clouds
294,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,-3.69,81,4,7.56,clear sky
295,bengkulu,ID,-3.8004,102.2655,82.45,70,100,7.72,overcast clouds
296,taraz,KZ,42.9,71.3667,1.81,85,100,4.47,overcast clouds
297,longyearbyen,SJ,78.2186,15.6401,30.04,93,75,11.5,light snow
298,pontes e lacerda,BR,-15.2261,-59.3353,70.48,97,100,2.77,overcast clouds
299,da nang,VN,16.0678,108.2208,76.98,73,75,11.5,broken clouds
300,henniker,US,43.1798,-71.8223,20.75,55,31,2.37,scattered clouds
301,kutum,SD,14.2,24.6667,55.72,33,100,8.46,overcast clouds
302,ternate,ID,0.8,127.4,81.9,79,100,9.13,overcast clouds
303,touros,BR,-5.1989,-35.4608,78.26,79,24,10.94,few clouds
304,polunochnoye,RU,60.8697,60.4153,3.51,76,100,13.38,overcast clouds
305,zhuhai,CN,22.2769,113.5678,69.58,88,40,9.22,scattered clouds
306,san,ML,13.3034,-4.8956,65.91,19,5,8.43,clear sky
307,soto la marina,MX,23.7667,-98.2167,65.73,91,0,4.36,clear sky
308,kokoda,PG,-8.8785,147.7407,78.19,94,100,1.01,light rain
309,galveston,US,29.3669,-94.9669,67.14,93,13,4.0,few clouds
310,merauke,ID,-8.4667,140.3333,82.44,77,97,10.0,heavy intensity rain
311,arman,RU,59.7,150.1667,-20.09,87,16,5.03,few clouds
312,paciran,ID,-6.8767,112.3761,86.27,65,71,5.55,broken clouds
313,sawakin,SD,19.1059,37.3321,72.0,60,100,12.57,overcast clouds
314,rosarito,MX,32.3333,-117.0333,54.12,82,100,6.31,overcast clouds
315,batagay,RU,67.6333,134.6333,-45.83,95,100,1.79,overcast clouds
316,virden,US,39.5009,-89.7679,46.09,78,100,7.85,overcast clouds
317,luderitz,NA,-26.6481,15.1594,68.68,66,47,8.63,scattered clouds
318,zhigansk,RU,66.7697,123.3711,-29.56,95,100,11.14,overcast clouds
319,yarada,IN,17.65,83.2667,80.92,47,0,5.75,haze
320,kyren,RU,51.6828,102.1408,7.5,91,100,6.2,light snow
321,haines junction,CA,60.7522,-137.5108,-8.37,100,100,1.23,overcast clouds
322,sitka,US,57.0531,-135.33,37.27,89,100,6.46,light rain
323,pangnirtung,CA,66.1451,-65.7125,-24.9,84,5,3.4,clear sky
324,plymouth,US,41.8334,-70.8328,31.66,69,100,5.17,overcast clouds
325,jiaozhou,CN,36.2839,120.0033,48.36,57,6,11.81,clear sky
326,terenos,BR,-20.4422,-54.8603,67.93,91,96,3.29,overcast clouds
327,sofia,BG,42.6975,23.3242,38.26,92,75,3.44,broken clouds
328,porciuncula,BR,-20.9628,-42.0408,70.52,95,100,3.62,overcast clouds
329,camacha,PT,33.0833,-16.3333,62.02,77,75,9.22,broken clouds
330,giyani,ZA,-23.3025,30.7187,79.74,54,0,6.6,clear sky
331,grootfontein,NA,-19.5667,18.1167,77.95,47,98,14.7,overcast clouds
332,khandyga,RU,62.6667,135.6,-16.38,100,100,2.84,overcast clouds
333,banda aceh,ID,5.5577,95.3222,82.02,67,80,6.71,broken clouds
334,kembe,CF,4.6228,21.8865,79.36,25,74,6.67,broken clouds
335,syracuse,IT,37.0881,15.2792,44.31,57,0,8.81,clear sky
336,abalak,RU,58.1286,68.5944,7.12,88,100,7.63,overcast clouds
337,san cristobal,VE,7.7669,-72.225,63.77,98,90,0.96,overcast clouds
338,narsaq,GL,60.9167,-46.05,19.62,68,100,8.59,overcast clouds
339,ampanihy,MG,-24.7,44.75,84.72,61,19,1.1,few clouds
340,torit,SS,4.4133,32.5678,85.12,37,57,4.63,broken clouds
341,la ronge,CA,55.1001,-105.2842,-5.31,100,71,4.63,broken clouds
342,fairbanks,US,64.8378,-147.7164,-0.83,96,100,3.49,overcast clouds
343,qaqortoq,GL,60.7167,-46.0333,19.17,66,100,9.51,overcast clouds
344,mandaguari,BR,-23.5475,-51.6708,62.91,94,100,2.53,overcast clouds
345,kudahuvadhoo,MV,2.6708,72.8944,80.33,73,100,13.89,overcast clouds
346,jacareacanga,BR,-6.2222,-57.7528,67.5,99,100,1.5,overcast clouds
347,santa cruz del sur,CU,20.7147,-77.9956,70.63,84,0,9.08,clear sky
348,robertsport,LR,6.7533,-11.3686,75.25,90,14,5.88,few clouds
349,tezze sul brenta,IT,45.6866,11.7036,38.8,66,99,2.77,overcast clouds
350,fukue,JP,32.6881,128.8419,57.6,67,78,4.72,broken clouds
351,jackson,US,42.4165,-122.8345,46.0,76,92,4.85,overcast clouds
352,srinivaspur,IN,13.3333,78.2167,78.76,21,0,8.77,clear sky
353,nueva loja,EC,0.0847,-76.8828,68.36,98,92,1.81,light rain
354,ballina,AU,-28.8667,153.5667,77.77,76,0,12.77,clear sky
355,fasa,IR,28.9383,53.6482,46.83,59,2,6.6,clear sky
356,port macquarie,AU,-31.4333,152.9167,74.89,64,0,9.62,clear sky
357,biloela,AU,-24.4167,150.5,76.19,77,100,10.45,light rain
